Code,Element
155,New_Pos_Rec2_Err_Pre
156,New_Pos_Rec1_Sr6_Pre
157,New_Pos_Rec1_Sr5_Pre
158,New_Pos_Rec1_Sr4_Pre
159,New_Pos_Rec1_Sr3_Pre
160,New_Pos_Rec1_Sr2_Pre
161,New_Pos_Rec1_Sr1_Pre
162,New_Pos_Rec1_Err_Pre
163,New_Neg_Rec6_Pre
164,New_Neg_Rec5_Pre
165,New_Neg_Rec4_Pre
166,New_Neg_Rec3_Pre
167,New_Neg_Rec2_Sr6_Pre
168,New_Neg_Rec2_Sr5_Pre
169,New_Neg_Rec2_Sr4_Pre
170,New_Neg_Rec2_Sr3_Pre
171,New_Neg_Rec2_Sr2_Pre
172,New_Neg_Rec2_Sr1_Pre
173,New_Neg_Rec2_Err_Pre
174,New_Neg_Rec1_Sr6_Pre
175,New_Neg_Rec1_Sr5_Pre
176,New_Neg_Rec1_Sr4_Pre
177,New_Neg_Rec1_Sr3_Pre
178,New_Neg_Rec1_Sr2_Pre
179,New_Neg_Rec1_Sr1_Pre
180,New_Neg_Rec1_Err_Pre
181,Src_Old_Pos_Desc_Yes_Rec2_Sr6_Pre
182,Src_Old_Pos_Desc_Yes_Rec2_Sr5_Pre
183,Src_Old_Pos_Desc_Yes_Rec2_Sr4_Pre
184,Src_Old_Pos_Desc_Yes_Rec2_Sr3_Pre
185,Src_Old_Pos_Desc_Yes_Rec2_Sr2_Pre
186,Src_Old_Pos_Desc_Yes_Rec2_Sr1_Pre
187,Src_Old_Pos_Desc_Yes_Rec2_Err_Pre
188,Src_Old_Pos_Desc_Yes_Rec1_Sr6_Pre
189,Src_Old_Pos_Desc_Yes_Rec1_Sr5_Pre
190,Src_Old_Pos_Desc_Yes_Rec1_Sr4_Pre
191,Src_Old_Pos_Desc_Yes_Rec1_Sr3_Pre
192,Src_Old_Pos_Desc_Yes_Rec1_Sr2_Pre
193,Src_Old_Pos_Desc_Yes_Rec1_Sr1_Pre
194,Src_Old_Pos_Desc_Yes_Rec1_Err_Pre
195,Src_Old_Pos_Desc_No_Rec2_Sr6_Pre
196,Src_Old_Pos_Desc_No_Rec2_Sr5_Pre
197,Src_Old_Pos_Desc_No_Rec2_Sr4_Pre
198,Src_Old_Pos_Desc_No_Rec2_Sr3_Pre
199,Src_Old_Pos_Desc_No_Rec2_Sr2_Pre
200,Src_Old_Pos_Desc_No_Rec2_Sr1_Pre
201,Src_Old_Pos_Desc_No_Rec2_Err_Pre
202,Src_Old_Pos_Desc_No_Rec1_Sr6_Pre
203,Src_Old_Pos_Desc_No_Rec1_Sr5_Pre
204,Src_Old_Pos_Desc_No_Rec1_Sr4_Pre
205,Src_Old_Pos_Desc_No_Rec1_Sr3_Pre
206,Src_Old_Pos_Desc_No_Rec1_Sr2_Pre
207,Src_Old_Pos_Desc_No_Rec1_Sr1_Pre
208,Src_Old_Pos_Desc_No_Rec1_Err_Pre
209,Src_Old_Pos_Emo_Yes_Rec2_Sr6_Pre
210,Src_Old_Pos_Emo_Yes_Rec2_Sr5_Pre
211,Src_Old_Pos_Emo_Yes_Rec2_Sr4_Pre
212,Src_Old_Pos_Emo_Yes_Rec2_Sr3_Pre
213,Src_Old_Pos_Emo_Yes_Rec2_Sr2_Pre
214,Src_Old_Pos_Emo_Yes_Rec2_Sr1_Pre
215,Src_Old_Pos_Emo_Yes_Rec2_Err_Pre
216,Src_Old_Pos_Emo_Yes_Rec1_Sr6_Pre
217,Src_Old_Pos_Emo_Yes_Rec1_Sr5_Pre
218,Src_Old_Pos_Emo_Yes_Rec1_Sr4_Pre
219,Src_Old_Pos_Emo_Yes_Rec1_Sr3_Pre
220,Src_Old_Pos_Emo_Yes_Rec1_Sr2_Pre
221,Src_Old_Pos_Emo_Yes_Rec1_Sr1_Pre
222,Src_Old_Pos_Emo_Yes_Rec1_Err_Pre
223,Src_Old_Pos_Emo_No_Rec2_Sr6_Pre
224,Src_Old_Pos_Emo_No_Rec2_Sr5_Pre
225,Src_Old_Pos_Emo_No_Rec2_Sr4_Pre
226,Src_Old_Pos_Emo_No_Rec2_Sr3_Pre
227,Src_Old_Pos_Emo_No_Rec2_Sr2_Pre
228,Src_Old_Pos_Emo_No_Rec2_Sr1_Pre
229,Src_Old_Pos_Emo_No_Rec2_Err_Pre
230,Src_Old_Pos_Emo_No_Rec1_Sr6_Pre
231,Src_Old_Pos_Emo_No_Rec1_Sr5_Pre
232,Src_Old_Pos_Emo_No_Rec1_Sr4_Pre
233,Src_Old_Pos_Emo_No_Rec1_Sr3_Pre
234,Src_Old_Pos_Emo_No_Rec1_Sr2_Pre
235,Src_Old_Pos_Emo_No_Rec1_Sr1_Pre
236,Src_Old_Pos_Emo_No_Rec1_Err_Pre
237,Src_Old_Neg_Desc_Yes_Rec2_Sr6_Pre
238,Src_Old_Neg_Desc_Yes_Rec2_Sr5_Pre
239,Src_Old_Neg_Desc_Yes_Rec2_Sr4_Pre
240,Src_Old_Neg_Desc_Yes_Rec2_Sr3_Pre
241,Src_Old_Neg_Desc_Yes_Rec2_Sr2_Pre
242,Src_Old_Neg_Desc_Yes_Rec2_Sr1_Pre
243,Src_Old_Neg_Desc_Yes_Rec2_Err_Pre
244,Src_Old_Neg_Desc_Yes_Rec1_Sr6_Pre
245,Src_Old_Neg_Desc_Yes_Rec1_Sr5_Pre
246,Src_Old_Neg_Desc_Yes_Rec1_Sr4_Pre
247,Src_Old_Neg_Desc_Yes_Rec1_Sr3_Pre
248,Src_Old_Neg_Desc_Yes_Rec1_Sr2_Pre
249,Src_Old_Neg_Desc_Yes_Rec1_Sr1_Pre
250,Src_Old_Neg_Desc_Yes_Rec1_Err_Pre
251,Src_Old_Neg_Desc_No_Rec2_Sr6_Pre
252,Src_Old_Neg_Desc_No_Rec2_Sr5_Pre
253,Src_Old_Neg_Desc_No_Rec2_Sr4_Pre
254,Src_Old_Neg_Desc_No_Rec2_Sr3_Pre
255,Src_Old_Neg_Desc_No_Rec2_Sr2_Pre
256,Src_Old_Neg_Desc_No_Rec2_Sr1_Pre
257,Src_Old_Neg_Desc_No_Rec2_Err_Pre
258,Src_Old_Neg_Desc_No_Rec1_Sr6_Pre
259,Src_Old_Neg_Desc_No_Rec1_Sr5_Pre
260,Src_Old_Neg_Desc_No_Rec1_Sr4_Pre
261,Src_Old_Neg_Desc_No_Rec1_Sr3_Pre
262,Src_Old_Neg_Desc_No_Rec1_Sr2_Pre
263,Src_Old_Neg_Desc_No_Rec1_Sr1_Pre
264,Src_Old_Neg_Desc_No_Rec1_Err_Pre
265,Src_Old_Neg_Emo_Yes_Rec2_Sr6_Pre
266,Src_Old_Neg_Emo_Yes_Rec2_Sr5_Pre
267,Src_Old_Neg_Emo_Yes_Rec2_Sr4_Pre
268,Src_Old_Neg_Emo_Yes_Rec2_Sr3_Pre
269,Src_Old_Neg_Emo_Yes_Rec2_Sr2_Pre
270,Src_Old_Neg_Emo_Yes_Rec2_Sr1_Pre
271,Src_Old_Neg_Emo_Yes_Rec2_Err_Pre
272,Src_Old_Neg_Emo_Yes_Rec1_Sr6_Pre
273,Src_Old_Neg_Emo_Yes_Rec1_Sr5_Pre
274,Src_Old_Neg_Emo_Yes_Rec1_Sr4_Pre
275,Src_Old_Neg_Emo_Yes_Rec1_Sr3_Pre
276,Src_Old_Neg_Emo_Yes_Rec1_Sr2_Pre
277,Src_Old_Neg_Emo_Yes_Rec1_Sr1_Pre
278,Src_Old_Neg_Emo_Yes_Rec1_Err_Pre
279,Src_Old_Neg_Emo_No_Rec2_Sr6_Pre
280,Src_Old_Neg_Emo_No_Rec2_Sr5_Pre
281,Src_Old_Neg_Emo_No_Rec2_Sr4_Pre
282,Src_Old_Neg_Emo_No_Rec2_Sr3_Pre
283,Src_Old_Neg_Emo_No_Rec2_Sr2_Pre
284,Src_Old_Neg_Emo_No_Rec2_Sr1_Pre
285,Src_Old_Neg_Emo_No_Rec2_Err_Pre
286,Src_Old_Neg_Emo_No_Rec1_Sr6_Pre
287,Src_Old_Neg_Emo_No_Rec1_Sr5_Pre
288,Src_Old_Neg_Emo_No_Rec1_Sr4_Pre
289,Src_Old_Neg_Emo_No_Rec1_Sr3_Pre
290,Src_Old_Neg_Emo_No_Rec1_Sr2_Pre
291,Src_Old_Neg_Emo_No_Rec1_Sr1_Pre
292,Src_Old_Neg_Emo_No_Rec1_Err_Pre
293,Src_New_Pos_Rec2_Sr6_Pre
294,Src_New_Pos_Rec2_Sr5_Pre
295,Src_New_Pos_Rec2_Sr4_Pre
296,Src_New_Pos_Rec2_Sr3_Pre
297,Src_New_Pos_Rec2_Sr2_Pre
298,Src_New_Pos_Rec2_Sr1_Pre
299,Src_New_Pos_Rec2_Err_Pre
300,Src_New_Pos_Rec1_Sr6_Pre
301,Src_New_Pos_Rec1_Sr5_Pre
302,Src_New_Pos_Rec1_Sr4_Pre
303,Src_New_Pos_Rec1_Sr3_Pre
304,Src_New_Pos_Rec1_Sr2_Pre
305,Src_New_Pos_Rec1_Sr1_Pre
306,Src_New_Neg_Rec2_Sr6_Pre
307,Src_New_Neg_Rec2_Sr5_Pre
308,Src_New_Neg_Rec2_Sr4_Pre
309,Src_New_Neg_Rec2_Sr3_Pre
310,Src_New_Neg_Rec2_Sr2_Pre
311,Src_New_Neg_Rec2_Sr1_Pre
312,Src_New_Neg_Rec1_Sr6_Pre
313,Src_New_Neg_Rec1_Sr5_Pre
314,Src_New_Neg_Rec1_Sr4_Pre
315,Src_New_Neg_Rec1_Sr3_Pre
316,Src_New_Neg_Rec1_Sr2_Pre
317,Src_New_Neg_Rec1_Sr1_Pre
318,Old_Pos_Desc_Yes_Rec6_Post
319,Old_Pos_Desc_Yes_Rec5_Post
320,Old_Pos_Desc_Yes_Rec4_Post
321,Old_Pos_Desc_Yes_Rec3_Post
322,Old_Pos_Desc_Yes_Rec2_Sr6_Post
323,Old_Pos_Desc_Yes_Rec2_Sr5_Post
324,Old_Pos_Desc_Yes_Rec2_Sr4_Post
325,Old_Pos_Desc_Yes_Rec2_Sr3_Post
326,Old_Pos_Desc_Yes_Rec2_Sr2_Post
327,Old_Pos_Desc_Yes_Rec2_Sr1_Post
328,Old_Pos_Desc_Yes_Rec2_Err_Post
329,Old_Pos_Desc_Yes_Rec1_Sr6_Post
330,Old_Pos_Desc_Yes_Rec1_Sr5_Post
331,Old_Pos_Desc_Yes_Rec1_Sr4_Post
332,Old_Pos_Desc_Yes_Rec1_Sr3_Post
333,Old_Pos_Desc_Yes_Rec1_Sr2_Post
334,Old_Pos_Desc_Yes_Rec1_Sr1_Post
335,Old_Pos_Desc_Yes_Rec1_Err_Post
336,Old_Pos_Desc_No_Rec6_Post
337,Old_Pos_Desc_No_Rec5_Post
338,Old_Pos_Desc_No_Rec4_Post
339,Old_Pos_Desc_No_Rec3_Post
340,Old_Pos_Desc_No_Rec2_Sr6_Post
341,Old_Pos_Desc_No_Rec2_Sr5_Post
342,Old_Pos_Desc_No_Rec2_Sr4_Post
343,Old_Pos_Desc_No_Rec2_Sr3_Post
344,Old_Pos_Desc_No_Rec2_Sr2_Post
345,Old_Pos_Desc_No_Rec2_Sr1_Post
346,Old_Pos_Desc_No_Rec2_Err_Post
347,Old_Pos_Desc_No_Rec1_Sr6_Post
348,Old_Pos_Desc_No_Rec1_Sr5_Post
349,Old_Pos_Desc_No_Rec1_Sr4_Post
350,Old_Pos_Desc_No_Rec1_Sr3_Post
351,Old_Pos_Desc_No_Rec1_Sr2_Post
352,Old_Pos_Desc_No_Rec1_Sr1_Post
353,Old_Pos_Desc_No_Rec1_Err_Post
354,Old_Pos_Emo_Yes_Rec6_Post
355,Old_Pos_Emo_Yes_Rec5_Post
356,Old_Pos_Emo_Yes_Rec4_Post
357,Old_Pos_Emo_Yes_Rec3_Post
358,Old_Pos_Emo_Yes_Rec2_Sr6_Post
359,Old_Pos_Emo_Yes_Rec2_Sr5_Post
360,Old_Pos_Emo_Yes_Rec2_Sr4_Post
361,Old_Pos_Emo_Yes_Rec2_Sr3_Post
362,Old_Pos_Emo_Yes_Rec2_Sr2_Post
363,Old_Pos_Emo_Yes_Rec2_Sr1_Post
364,Old_Pos_Emo_Yes_Rec2_Err_Post
365,Old_Pos_Emo_Yes_Rec1_Sr6_Post
366,Old_Pos_Emo_Yes_Rec1_Sr5_Post
367,Old_Pos_Emo_Yes_Rec1_Sr4_Post
368,Old_Pos_Emo_Yes_Rec1_Sr3_Post
369,Old_Pos_Emo_Yes_Rec1_Sr2_Post
370,Old_Pos_Emo_Yes_Rec1_Sr1_Post
371,Old_Pos_Emo_Yes_Rec1_Err_Post
372,Old_Pos_Emo_No_Rec6_Post
373,Old_Pos_Emo_No_Rec5_Post
374,Old_Pos_Emo_No_Rec4_Post
375,Old_Pos_Emo_No_Rec3_Post
376,Old_Pos_Emo_No_Rec2_Sr6_Post
377,Old_Pos_Emo_No_Rec2_Sr5_Post
378,Old_Pos_Emo_No_Rec2_Sr4_Post
379,Old_Pos_Emo_No_Rec2_Sr3_Post
380,Old_Pos_Emo_No_Rec2_Sr2_Post
381,Old_Pos_Emo_No_Rec2_Sr1_Post
382,Old_Pos_Emo_No_Rec2_Err_Post
383,Old_Pos_Emo_No_Rec1_Sr6_Post
384,Old_Pos_Emo_No_Rec1_Sr5_Post
385,Old_Pos_Emo_No_Rec1_Sr4_Post
386,Old_Pos_Emo_No_Rec1_Sr3_Post
387,Old_Pos_Emo_No_Rec1_Sr2_Post
388,Old_Pos_Emo_No_Rec1_Sr1_Post
389,Old_Pos_Emo_No_Rec1_Err_Post
390,Old_Neg_Desc_Yes_Rec6_Post
391,Old_Neg_Desc_Yes_Rec5_Post
392,Old_Neg_Desc_Yes_Rec4_Post
393,Old_Neg_Desc_Yes_Rec3_Post
394,Old_Neg_Desc_Yes_Rec2_Sr6_Post
395,Old_Neg_Desc_Yes_Rec2_Sr5_Post
396,Old_Neg_Desc_Yes_Rec2_Sr4_Post
397,Old_Neg_Desc_Yes_Rec2_Sr3_Post
398,Old_Neg_Desc_Yes_Rec2_Sr2_Post
399,Old_Neg_Desc_Yes_Rec2_Sr1_Post
400,Old_Neg_Desc_Yes_Rec2_Err_Post
401,Old_Neg_Desc_Yes_Rec1_Sr6_Post
402,Old_Neg_Desc_Yes_Rec1_Sr5_Post
403,Old_Neg_Desc_Yes_Rec1_Sr4_Post
404,Old_Neg_Desc_Yes_Rec1_Sr3_Post
405,Old_Neg_Desc_Yes_Rec1_Sr2_Post
406,Old_Neg_Desc_Yes_Rec1_Sr1_Post
407,Old_Neg_Desc_Yes_Rec1_Err_Post
408,Old_Neg_Desc_No_Rec6_Post
409,Old_Neg_Desc_No_Rec5_Post
410,Old_Neg_Desc_No_Rec4_Post
411,Old_Neg_Desc_No_Rec3_Post
412,Old_Neg_Desc_No_Rec2_Sr6_Post
413,Old_Neg_Desc_No_Rec2_Sr5_Post
414,Old_Neg_Desc_No_Rec2_Sr4_Post
415,Old_Neg_Desc_No_Rec2_Sr3_Post
416,Old_Neg_Desc_No_Rec2_Sr2_Post
417,Old_Neg_Desc_No_Rec2_Sr1_Post
418,Old_Neg_Desc_No_Rec2_Err_Post
419,Old_Neg_Desc_No_Rec1_Sr6_Post
420,Old_Neg_Desc_No_Rec1_Sr5_Post
421,Old_Neg_Desc_No_Rec1_Sr4_Post
422,Old_Neg_Desc_No_Rec1_Sr3_Post
423,Old_Neg_Desc_No_Rec1_Sr2_Post
424,Old_Neg_Desc_No_Rec1_Sr1_Post
425,Old_Neg_Desc_No_Rec1_Err_Post
426,Old_Neg_Emo_Yes_Rec6_Post
427,Old_Neg_Emo_Yes_Rec5_Post
428,Old_Neg_Emo_Yes_Rec4_Post
429,Old_Neg_Emo_Yes_Rec3_Post
430,Old_Neg_Emo_Yes_Rec2_Sr6_Post
431,Old_Neg_Emo_Yes_Rec2_Sr5_Post
432,Old_Neg_Emo_Yes_Rec2_Sr4_Post
433,Old_Neg_Emo_Yes_Rec2_Sr3_Post
434,Old_Neg_Emo_Yes_Rec2_Sr2_Post
435,Old_Neg_Emo_Yes_Rec2_Sr1_Post
436,Old_Neg_Emo_Yes_Rec2_Err_Post
437,Old_Neg_Emo_Yes_Rec1_Sr6_Post
438,Old_Neg_Emo_Yes_Rec1_Sr5_Post
439,Old_Neg_Emo_Yes_Rec1_Sr4_Post
440,Old_Neg_Emo_Yes_Rec1_Sr3_Post
441,Old_Neg_Emo_Yes_Rec1_Sr2_Post
442,Old_Neg_Emo_Yes_Rec1_Sr1_Post
443,Old_Neg_Emo_Yes_Rec1_Err_Post
444,Old_Neg_Emo_No_Rec6_Post
445,Old_Neg_Emo_No_Rec5_Post
446,Old_Neg_Emo_No_Rec4_Post
447,Old_Neg_Emo_No_Rec3_Post
448,Old_Neg_Emo_No_Rec2_Sr6_Post
449,Old_Neg_Emo_No_Rec2_Sr5_Post
450,Old_Neg_Emo_No_Rec2_Sr4_Post
451,Old_Neg_Emo_No_Rec2_Sr3_Post
452,Old_Neg_Emo_No_Rec2_Sr2_Post
453,Old_Neg_Emo_No_Rec2_Sr1_Post
454,Old_Neg_Emo_No_Rec2_Err_Post
455,Old_Neg_Emo_No_Rec1_Sr6_Post
456,Old_Neg_Emo_No_Rec1_Sr5_Post
457,Old_Neg_Emo_No_Rec1_Sr4_Post
458,Old_Neg_Emo_No_Rec1_Sr3_Post
459,Old_Neg_Emo_No_Rec1_Sr2_Post
460,Old_Neg_Emo_No_Rec1_Sr1_Post
461,Old_Neg_Emo_No_Rec1_Err_Post
462,New_Pos_Rec6_Post
463,New_Pos_Rec5_Post
464,New_Pos_Rec4_Post
465,New_Pos_Rec3_Post
466,New_Pos_Rec2_Sr6_Post
467,New_Pos_Rec2_Sr5_Post
468,New_Pos_Rec2_Sr4_Post
469,New_Pos_Rec2_Sr3_Post
470,New_Pos_Rec2_Sr2_Post
471,New_Pos_Rec2_Sr1_Post
472,New_Pos_Rec2_Err_Post
473,New_Pos_Rec1_Sr6_Post
474,New_Pos_Rec1_Sr5_Post
475,New_Pos_Rec1_Sr4_Post
476,New_Pos_Rec1_Sr3_Post
477,New_Pos_Rec1_Sr2_Post
478,New_Pos_Rec1_Sr1_Post
479,New_Pos_Rec1_Err_Post
480,New_Neg_Rec6_Post
481,New_Neg_Rec5_Post
482,New_Neg_Rec4_Post
483,New_Neg_Rec3_Post
484,New_Neg_Rec2_Sr6_Post
485,New_Neg_Rec2_Sr5_Post
486,New_Neg_Rec2_Sr4_Post
487,New_Neg_Rec2_Sr3_Post
488,New_Neg_Rec2_Sr2_Post
489,New_Neg_Rec2_Sr1_Post
490,New_Neg_Rec2_Err_Post
491,New_Neg_Rec1_Sr6_Post
492,New_Neg_Rec1_Sr5_Post
493,New_Neg_Rec1_Sr4_Post
494,New_Neg_Rec1_Sr3_Post
495,New_Neg_Rec1_Sr2_Post
496,New_Neg_Rec1_Sr1_Post
497,New_Neg_Rec1_Err_Post
498,Src_Old_Pos_Desc_Yes_Rec2_Sr6_Post
499,Src_Old_Pos_Desc_Yes_Rec2_Sr5_Post
500,Src_Old_Pos_Desc_Yes_Rec2_Sr4_Post
501,Src_Old_Pos_Desc_Yes_Rec2_Sr3_Post
502,Src_Old_Pos_Desc_Yes_Rec2_Sr2_Post
503,Src_Old_Pos_Desc_Yes_Rec2_Sr1_Post
504,Src_Old_Pos_Desc_Yes_Rec2_Err_Post
505,Src_Old_Pos_Desc_Yes_Rec1_Sr6_Post
